Timestamp,Year of study,What is you department?,Are you currently pursuing a minor under any of the following departments/programs?,Gender,What song are you vibing to these days?,Relationship Status,Township,How frequently do you eat out?,How often do you feel homesick?,Do you get along with your roommate?,Are you facing Intern/placement issue?,How much are you affected by quizzes and assignments ?,"CPI (write in the text box) 
Disclaimer: This is an anonymous survey, we don't judge.",How is your social life?,How many hours do you sleep daily?,How well are you coping up with the offline semester?,Do you feel you are missing out?,Do you think your fluency in English affects your confidence?,How does your Insti life compare to your expectations? Take your time,Any feedback regarding the survey? How could we have done better?
10/27/2022 11:44:04,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,,In pursuit,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am happy with my internship opportunity.,3,8.7,I like to keep my social circle small,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,2,
10/27/2022 12:59:03,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,the world could end with you,Single,City,Occasionally (once in a week),Never,There is minor miscommunication,No,4,9.08,I like to keep my social circle small,5,I am facing difficulty with time management,"Scholastically, Socially",No,4,
10/27/2022 13:43:26,2nd,Mechanical,Computer Science and Engineering,Female,Taylor Swift and Hindi,In pursuit,City,Often (more than five times a week),Only during difficult times,There is minor miscommunication,I am unable to find one that suits my interest.,4,8.68,To a point where I feel guilty of inefficient time management,5,I am facing difficulty with time management,"Scholastically, Socially",No,3,
10/27/2022 13:43:27,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am happy with my internship opportunity.,4,9.02,I like to keep my social circle small,7,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 13:44:23,2nd,Mechanical,Computer Science and Engineering,Male,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,3,8.65,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/27/2022 13:44:58,2nd,Computer Science and Engineering,Civil,Abraham,Bosom Days by Abraham,Broke up recently,Town,Often (more than five times a week),Never,There is minor miscommunication,I am happy with my internship opportunity.,5,10,I'm an extrovert,1,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",I don't understand the question :(,1,
10/27/2022 13:45:28,2nd,Energy Science,Humanities and Social Sciences,Male,Shake it off,Single,City,Often (more than five times a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,6,To a point where I feel guilty of inefficient time management,4,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 13:45:28,2nd,Civil,None,Female,,Single,City,Often (more than five times a week),Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,3,its just bad,I like to keep my social circle small,5,I am facing difficulty with time management,"Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 13:45:49,3rd,Civil,Centre for Machine Intelligence and Data Science,Male,,Single,City,Often (more than five times a week),Never,I feel comfortable with them,I am happy with my internship opportunity.,4,Ugh,To a point where I feel guilty of inefficient time management,7,Too Hectic for me... online was smoother,"Scholastically, Extra Curriculars (Cult activities and college fests)",No,3,
10/27/2022 13:46:02,2nd,Electrical,Computer Science and Engineering,Male,,Broke up recently,City,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,Inadequate opportunity in the sector I aspire to persue.,5,,To a point where I feel guilty of inefficient time management,5,I am facing difficulty with time management,Scholastically,Yes,4,
10/27/2022 13:46:36,2nd,Civil,Humanities and Social Sciences,Male,Kaho Naa pyaar hai,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,No,3,6.29,I prefer my own company,5,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,3,
10/27/2022 13:47:00,4th,Chemical,Centre for Machine Intelligence and Data Science,Male,Perfect,Single,Town,Occasionally (once in a week),Sometimes,I live in single occupancy,Inadequate opportunity in the sector I aspire to persue.,3,9.02,I prefer my own company,7,Too Hectic for me... online was smoother,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/27/2022 13:47:33,2nd,Electrical,Computer Science and Engineering,Male,Kesariya,Single,City,Occasionally (once in a week),Never,There is minor miscommunication,No,2,,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
